"Precios Promedio de venta en Lima por Distrito del GNV-18/08/2022 (Soles por metros cúbicos)","",""
"","",""
"Distrito","Precio Promedio","Número de Establecimientos"
"ANCON","1.89","2"
"ATE","1.522","20"
"BARRANCO","1.53","1"
"BREÑA","1.48571428571429","7"
"CARABAYLLO","1.68","5"
"CHACLACAYO","1.6","1"
"CHORRILLOS","1.72444444444444","9"
"COMAS","1.63125","8"
"EL AGUSTINO","1.61","2"
"INDEPENDENCIA","1.56166666666667","6"
"JESUS MARIA","1.57","3"
"LA MOLINA","1.61833333333333","6"
"LA VICTORIA","1.51214285714286","28"
"LIMA","1.50454545454545","22"
"LINCE","1.605","2"
"LOS OLIVOS","1.595","14"
"LURIGANCHO","1.55","5"
"LURIN","1.76333333333333","6"
"MAGDALENA DEL MAR","1.582","5"
"MIRAFLORES","1.615","2"
"PACHACAMAC","1.59","1"
"PUEBLO LIBRE","1.54","7"
"PUENTE PIEDRA","1.59166666666667","6"
"RIMAC","1.99","1"
"SAN BORJA","1.55","2"
"SAN ISIDRO","1.614","5"
"SAN JUAN DE LURIGANCHO","1.63421052631579","19"
"SAN JUAN DE MIRAFLORES","1.75875","8"
"SAN LUIS","1.47","7"
"SAN MARTIN DE PORRES","1.56230769230769","13"
"SAN MIGUEL","1.54","11"
"SANTA ANITA","1.59","3"
"SANTIAGO DE SURCO","1.59785714285714","14"
"SURQUILLO","1.58","10"
"VILLA EL SALVADOR","1.69166666666667","6"
"VILLA MARIA DEL TRIUNFO","1.63375","8"
