"Precios Promedio de venta en Lima por Distrito del GNV-16/08/2022 (Soles por metros cúbicos)","",""
"","",""
"Distrito","Precio Promedio","Número de Establecimientos"
"A & L ADMINISTRACION S.A.C. - A & L ADMIN S.A.C.",NA,"1"
"A.B.G.S.A.C. EE.SS. ORRANTIA",NA,"1"
"ADMINISTRACION DE GRIFOS L&L ONE S.A.C.",NA,"2"
"ADMINISTRACION DE GRIFOS LEP S.A.C.",NA,"2"
"ADMINISTRACION DE GRIFOS LYLONE SAC",NA,"1"
"ADMINISTRADORA DE SERVICIOS Y ASOCIADOS S.A.C.",NA,"1"
"AERO GAS DEL NORTE SAC",NA,"1"
"AEROSERVICIOS S.A.C.",NA,"1"
"ALTA VIDDA GAS S.A.C",NA,"1"
"ALTA VIDDA GAS S.A.C.",NA,"1"
"AMADA RAQUEL SOTELO RUEDA",NA,"1"
"ANCO GAS S.A.C.",NA,"1"
"ASIA GRIFOS Y SERVICIOS GENERALES S.A.C. - AGRISER S.A.C.",NA,"1"
"ATS AMERICA S.A.C.",NA,"1"
"AUTO GAS S.A.C",NA,"1"
"BEMCHO S.A.C.",NA,"1"
"BILCON GAS SOL S.A.C.",NA,"1"
"CENTRAL PARIACHI S.A.C.",NA,"1"
"CENTROGAS IQUITOS S.A.C.",NA,"1"
"CEPOCAR SRL",NA,"1"
"CEPOCAR SRLTDA",NA,"1"
"CLARIGO S.A.C.",NA,"2"
"COESTI LA PAZ 2",NA,"1"
"COESTI S.A",NA,"8"
"COESTI S.A.",NA,"54"
"COESTI SA",NA,"5"
"COESTI TOMAS VALLE",NA,"1"
"COMERCIALIZADORA INDUSTRIAL LA MOLINA SAC",NA,"2"
"CONSORCIO EL NORTEÑO S.A.C",NA,"1"
"CONSORCIO GRIFOS DEL PERU S.A.C.",NA,"1"
"CONSORCIO KINZUKO S.A.C.",NA,"1"
"CONTI GAS S.A.C.",NA,"1"
"COOPERATIVA DE SERVICIOS MULTIPLES ALAS PERUANAS",NA,"1"
"COPRINI S.A.C.",NA,"1"
"CORGAS S.A.C.",NA,"1"
"CORPORACION CAMAJEA S.A.C.",NA,"1"
"CORPORACION GEAMAR SAC",NA,"1"
"CORPORACION HA SAC",NA,"1"
"CORPORACION JUDY S.A.C.",NA,"1"
"CORPORACION JULCAN S.A.",NA,"1"
"CORPORACION PYX S.A.C.",NA,"1"
"CORPORACIÓN VILLAVICENCIO S.A.C.",NA,"1"
"CORPORACION VISTA ALEGRE S.A.C.",NA,"1"
"DELTA ATE E.I.R.L.",NA,"1"
"DELTA CHOCAS EIRL",NA,"1"
"DIESELDOOR PERU S.A.C.",NA,"1"
"DISCOM D&M S.A.C.",NA,"1"
"DUOGAS S.A.",NA,"1"
"E & A INVERSIONES S.A.",NA,"1"
"EE SS GASOLINAS DE AMERICA SAC",NA,"1"
"EE SS MONTE EVEREST",NA,"1"
"EKYS INVERSIONES S.A.C.",NA,"1"
"EMPRESA DE SERVICIOS Y TRANSPORTES EL NEGRO E.I.R.L.",NA,"1"
"EMPRESA DE TRANSPORTES E IMPORTACIONES Y SERVICIOS S.A.",NA,"1"
"EMPRESA DE TRANSPORTES Y SERVICIOS VIRGEN DE LA PUERTA S.A.",NA,"1"
"ENERGIGAS S.A.C.",NA,"3"
"ENERGIGAS SAC",NA,"8"
"ENERGY OIL COMPANY S.A.C.",NA,"1"
