"Precios Promedio de venta en Lima por Distrito del GLP Granel-18/08/2022 (Galones)","",""
"","",""
"Distrito","Precio Promedio","Número de Establecimientos"
"ANCON","10.99","1"
"ATE","8.33214285714286","28"
"BARRANCO","9.12","2"
"BREÑA","8.786","5"
"CARABAYLLO","8.34333333333333","15"
"CHACLACAYO","8.54","4"
"CHORRILLOS","8.58636363636364","11"
"CIENEGUILLA","9.53","2"
"COMAS","8.41416666666667","12"
"EL AGUSTINO","8.91","3"
"INDEPENDENCIA","8.155","8"
"JESUS MARIA","8.718","5"
"LA MOLINA","8.61181818181818","11"
"LA VICTORIA","8.27125","32"
"LIMA","8.37518518518518","27"
"LINCE","9.27333333333333","3"
"LOS OLIVOS","8.015","18"
"LURIGANCHO","8.4325","20"
"LURIN","7.98785714285714","14"
"MAGDALENA DEL MAR","9.48","4"
"MIRAFLORES","9.84","2"
"PACHACAMAC","8.5225","4"
"PUCUSANA","8.28","1"
"PUEBLO LIBRE","8.46777777777778","9"
"PUENTE PIEDRA","8.187","20"
"PUNTA HERMOSA","7.99","1"
"RIMAC","8.802","5"
"SAN BARTOLO","8.28","1"
"SAN BORJA","8.99","3"
"SAN ISIDRO","9.40666666666667","6"
"SAN JUAN DE LURIGANCHO","8.60151515151515","33"
"SAN JUAN DE MIRAFLORES","8.816","10"
"SAN LUIS","8.38","4"
"SAN MARTIN DE PORRES","8.16727272727273","22"
"SAN MIGUEL","8.65363636363636","11"
"SANTA ANITA","8.382","5"
"SANTA ROSA","8.43","1"
"SANTIAGO DE SURCO","9.36214285714286","14"
"SURQUILLO","10.128","5"
"VILLA EL SALVADOR","8.29909090909091","22"
"VILLA MARIA DEL TRIUNFO","8.48357142857143","14"
