"Precios Promedio de venta en Lima por Distrito del GLP Granel-01/08/2022 (Galones)","",""
"","",""
"Distrito","Precio Promedio","Número de Establecimientos"
"ANCON","10.99","1"
"ATE","8.80678571428571","28"
"BARRANCO","10.05","2"
"BREÑA","9.572","5"
"CARABAYLLO","8.986","15"
"CHACLACAYO","8.815","4"
"CHORRILLOS","9.29363636363636","11"
"CIENEGUILLA","9.725","2"
"COMAS","9.40166666666667","12"
"EL AGUSTINO","9.46","3"
"INDEPENDENCIA","9.1025","8"
"JESUS MARIA","9.298","5"
"LA MOLINA","9.14636363636364","11"
"LA VICTORIA","9.04838709677419","31"
"LIMA","9.26333333333333","27"
"LINCE","9.60333333333333","3"
"LOS OLIVOS","9.00111111111111","18"
"LURIGANCHO","8.899","20"
"LURIN","8.515","14"
"MAGDALENA DEL MAR","10.22","4"
"MIRAFLORES","9.69","1"
"PACHACAMAC","9.015","4"
"PUCUSANA","8.99","1"
"PUEBLO LIBRE","9.28","9"
"PUENTE PIEDRA","8.9521052631579","19"
"PUNTA HERMOSA","8.39","1"
"RIMAC","9.422","5"
"SAN BARTOLO","8.99","1"
"SAN BORJA","9.62333333333333","3"
"SAN ISIDRO","10.0066666666667","6"
"SAN JUAN DE LURIGANCHO","9.15848484848485","33"
"SAN JUAN DE MIRAFLORES","9.511","10"
"SAN LUIS","9.0175","4"
"SAN MARTIN DE PORRES","9.12863636363636","22"
"SAN MIGUEL","9.47363636363636","11"
"SANTA ANITA","9","5"
"SANTA ROSA","9.49","1"
"SANTIAGO DE SURCO","9.78428571428571","14"
"SURQUILLO","10.528","5"
"VILLA EL SALVADOR","8.84333333333333","21"
"VILLA MARIA DEL TRIUNFO","9.21142857142857","14"
