"Precios Promedio de venta en Lima por Distrito del GLP Granel-19/08/2022 (Galones)","",""
"","",""
"Distrito","Precio Promedio","Número de Establecimientos"
"ANCON","10.99","1"
"ATE","8.31714285714286","28"
"BARRANCO","9.12","2"
"BREÑA","8.76","5"
"CARABAYLLO","8.26933333333333","15"
"CHACLACAYO","8.54","4"
"CHORRILLOS","8.57727272727273","11"
"CIENEGUILLA","9.48","2"
"COMAS","8.35666666666667","12"
"EL AGUSTINO","8.91","3"
"INDEPENDENCIA","8.0325","8"
"JESUS MARIA","8.62","5"
"LA MOLINA","8.55727272727273","11"
"LA VICTORIA","8.235625","32"
"LIMA","8.35814814814815","27"
"LINCE","9.27333333333333","3"
"LOS OLIVOS","7.97722222222222","18"
"LURIGANCHO","8.4155","20"
"LURIN","7.97357142857143","14"
"MAGDALENA DEL MAR","9.48","4"
"MIRAFLORES","9.84","2"
"PACHACAMAC","8.4725","4"
"PUCUSANA","8.28","1"
"PUEBLO LIBRE","8.45333333333333","9"
"PUENTE PIEDRA","8.159","20"
"PUNTA HERMOSA","7.99","1"
"RIMAC","8.722","5"
"SAN BARTOLO","8.28","1"
"SAN BORJA","8.99","3"
"SAN ISIDRO","9.40666666666667","6"
"SAN JUAN DE LURIGANCHO","8.57939393939394","33"
"SAN JUAN DE MIRAFLORES","8.799","10"
"SAN LUIS","8.355","4"
"SAN MARTIN DE PORRES","8.15727272727273","22"
"SAN MIGUEL","8.61","11"
"SANTA ANITA","8.342","5"
"SANTA ROSA","8.43","1"
"SANTIAGO DE SURCO","9.36214285714286","14"
"SURQUILLO","10.128","5"
"VILLA EL SALVADOR","8.28227272727273","22"
"VILLA MARIA DEL TRIUNFO","8.48133333333333","15"
