"Precios Promedio de venta en Lima por Distrito del GLP Granel-09/08/2022 (Galones)","",""
"","",""
"Distrito","Precio Promedio","Número de Establecimientos"
"ANCON","10.99","1"
"ATE","8.50642857142857","28"
"BARRANCO","9.37","2"
"BREÑA","8.9","5"
"CARABAYLLO","8.52266666666667","15"
"CHACLACAYO","8.765","4"
"CHORRILLOS","8.87818181818182","11"
"CIENEGUILLA","9.58","2"
"COMAS","8.65","12"
"EL AGUSTINO","9.43","3"
"INDEPENDENCIA","8.63","8"
"JESUS MARIA","9.02","5"
"LA MOLINA","8.80727272727273","11"
"LA VICTORIA","8.53677419354839","31"
"LIMA","8.74666666666667","27"
"LINCE","9.27333333333333","3"
"LOS OLIVOS","8.36722222222222","18"
"LURIGANCHO","8.608","20"
"LURIN","8.21714285714286","14"
"MAGDALENA DEL MAR","9.77","4"
"MIRAFLORES","9.84","2"
"PACHACAMAC","8.7175","4"
"PUCUSANA","8.28","1"
"PUEBLO LIBRE","8.68777777777778","9"
"PUENTE PIEDRA","8.492","20"
"PUNTA HERMOSA","8.29","1"
"RIMAC","9.116","5"
"SAN BARTOLO","8.28","1"
"SAN BORJA","9.15666666666667","3"
"SAN ISIDRO","9.70666666666667","6"
"SAN JUAN DE LURIGANCHO","8.82181818181818","33"
"SAN JUAN DE MIRAFLORES","9.233","10"
"SAN LUIS","8.6425","4"
"SAN MARTIN DE PORRES","8.59227272727273","22"
"SAN MIGUEL","8.9","11"
"SANTA ANITA","8.578","5"
"SANTA ROSA","8.99","1"
"SANTIAGO DE SURCO","9.585","14"
"SURQUILLO","10.448","5"
"VILLA EL SALVADOR","8.50863636363636","22"
"VILLA MARIA DEL TRIUNFO","8.715","14"
