"Precios Promedio de venta en Lima por Distrito del GLP Granel-19/07/2022 (Galones)","",""
"","",""
"Distrito","Precio Promedio","Número de Establecimientos"
"ANCON","11.49","1"
"ATE","8.89214285714286","28"
"BARRANCO","9.915","2"
"BREÑA","9.3575","4"
"CARABAYLLO","9.02642857142857","14"
"CHACLACAYO","8.68","4"
"CHORRILLOS","9.19090909090909","11"
"CIENEGUILLA","9.505","2"
"COMAS","9.25916666666667","12"
"EL AGUSTINO","9.36333333333333","3"
"INDEPENDENCIA","9.05875","8"
"JESUS MARIA","9.276","5"
"LA MOLINA","9.03545454545455","11"
"LA VICTORIA","8.99032258064516","31"
"LIMA","9.2162962962963","27"
"LINCE","9.53666666666667","3"
"LOS OLIVOS","8.99411764705882","17"
"LURIGANCHO","8.783","20"
"LURIN","8.95285714285714","14"
"MAGDALENA DEL MAR","9.87","4"
"MIRAFLORES","9.79","1"
"PACHACAMAC","9.4175","4"
"PUCUSANA","8.49","1"
"PUEBLO LIBRE","9.75777777777778","9"
"PUENTE PIEDRA","8.81","19"
"PUNTA HERMOSA","9","1"
"RIMAC","9.3125","4"
"SAN BARTOLO","8.49","1"
"SAN BORJA","8.69","2"
"SAN ISIDRO","9.67333333333333","6"
"SAN JUAN DE LURIGANCHO","9.2269696969697","33"
"SAN JUAN DE MIRAFLORES","9.508","10"
"SAN LUIS","8.97","4"
"SAN MARTIN DE PORRES","9.25818181818182","22"
"SAN MIGUEL","9.22636363636364","11"
"SANTA ANITA","8.822","5"
"SANTA ROSA","9.99","1"
"SANTIAGO DE SURCO","9.61666666666667","12"
"SURQUILLO","10.2875","4"
"VILLA EL SALVADOR","9.08666666666667","21"
"VILLA MARIA DEL TRIUNFO","9.28153846153846","13"
