"Precios Promedio de venta en Lima por Distrito del GLP Granel-13/07/2022 (Galones)","",""
"","",""
"Distrito","Precio Promedio","Número de Establecimientos"
"ANCON","10.99","6"
"ATE","9.43","5"
"BREÑA","10.89","1"
"CARABAYLLO","9.39","3"
"CIENEGUILLA","10.06","1"
"COMAS","9.45","7"
"EL AGUSTINO","9.4","6"
"JESUS MARIA","9.721875","32"
"LIMA","9.49","2"
"LINCE","9.58","29"
"LURIGANCHO","9.39","3"
"MAGDALENA DEL MAR","9.79685714285714","35"
"MIRAFLORES","9.79","29"
"PUEBLO LIBRE","10.59","1"
"SAN ISIDRO","9.59","34"
"SAN JUAN DE LURIGANCHO","9.74555555555555","36"
"SAN JUAN DE MIRAFLORES","9.99571428571429","35"
"SAN MIGUEL","9.99","1"
"SANTIAGO DE SURCO","9.53783783783784","37"
"SURQUILLO","9.9585","60"
"VILLA EL SALVADOR","9.49","2"
"VILLA MARIA DEL TRIUNFO","9.39","3"
